,Data
172,standard (W3C) Web UI APIs
173,the following types frameworks/libraries/languages
176,Ember
178,UI Component libraries
179,Vue
180,Bootstrap
181,ES6
182,TypeScript
184,Async Module Definition
185,"AMD, requireJS"
186,commonJS
187,Stylesheet languages
188,SASS
189,Redux
190,Reactive Programming
191,RxJS
192,JavaStrong programming skills
193,lambdas
194,optionals
195,Guice knowledge
196,Protobuf knowledge
198,consuming service oriented architecture layers
199,APIs
200,highly scalable applications
201,Web UI:Deep understanding
202,JSON
203,JavaScript Design
206,Maven
207,", Eclipse/NetBeans/IntelliJ"
208,Spring/Guice
209,JPA/Hibernate
210,JavaExperience
211,highly distributed and scalable systems
212,Containers knowledge
213,Multi-threaded concepts
217,distributed troubleshooting
218,NoSQL
219,MongoDB
221,Redis
222,Java Application Servers
223,Oracle WebLogic
224,JBoss
225,Tomcat
226,frameworks
229,Protractor
230,Junit
231,Cross-browser techniques
232,Chrome Dev Tools
233,Responsive design implementation
234,Browser performance auditing
235,tuning
236,distributed code repositories
237,"(Git, Perforce"
238,Scrum / Kanban
239,Guice
240,GRPC
243,/BTech/BS
245,Proven-deep-expertise
246,Python programming
248,frameworks
249,Django
251,APIs
252,any RDBMS and strong SQL knowledge
253,Unix / Linux command line
254,Object-oriented concepts
256,UI frameworks
257,Redux
258,usability design
259,Hadoop / Hive / Presto
260,ML/AI frameworks
261,TensorFlow
262,H20
263,noSQL databases
264,docker and container platforms
265,Mesos
266,Kubernetes
267,Application benchmarking
268,optimization
269,Building user interface applications
271,measurement and control algorithms
272,UI Applications
273,"analytical, medical, or automotive devices"
275,programming user interfaces
276,the Qt Framework
277,QML
278,Qt/C++
279,regulated markets
280,embedded Linux-Systems
281,RasPi
282,BeagleBone
283,SQL
284,IP-based network protocols
285,the Linux-Yocto distribution
286,Myntra’s new product platforms
289,DevOps engineers
290,architectural and design best practices
291,deployment
296,a nimble delivery process
298,extensibility
299,deliverables
300,next generation extensible web
301,mobile and fashion commerce platforms
302,security protocols
303,customisation
305,internationalization
306,extensions
307,the architectural governance
309,new technology stacks
310,multiple technology domains
311,Myntra
312,external technical forums
313,business stakeholders
315,"term, long-term roadmaps"
318,a startup/e-commerce ecosystem
320,an efficient proficient problem-solver
321,business and technical perspectives
323,leading product development end-end (portfolio
325,architectures
326,multi-million sessions/transactions
327,rdbms & NoSQL stores
328,massively large scale distributed internet systems
329,Java/GO
330,multi-threading and performance oriented programming
331,highly scalable products
334,frameworks
335,object-oriented programming
336,concurrency
337,fundamentals
338,Developing user-facing web applications
339,"reusable, modular code"
341,Backend services
342,React JS
343,JS/TypeScript
344,Redux
345,Webpack bundling
346,Dev tools
348,HTML5
349,CSS3
350,CSS
351,pre-processing platforms
352,SASS
353,SCSS
354,Mysql
355,Postgres
356,Data modeling skills
357,the testing frameworks
358,code versioning tool - Git
360,deployment
361,a standardized IT methodology
362,Detail Design phases
364,architectural development
367,congruence
369,interdependent technologies
370,computing related technology programs
371,Minimum 1 year Java design and development experience
372,Spring and Hibernate based solutions
373,technical expertise
374,statistical programming tasks
375,technical expertise
376,the Statistical Programming department
377,High-Quality Deliverables
379,appropriate validation requirements
380,SOPs
381,Checks programming logs
384,programming specifications datasets
385,datasets
387,dataset derivations
388,Programs TLFs
389,biostatistical tools
392,lead programmer
393,the Biostatistical Team Lead
395,project specific macros
396,SOPs
398,EAC
399,documents timelines
400,BIOSETUP
402,project macros
403,SAP
405,programming specifications
406,safety outputs
408,contract and budget assumptions
409,rework
411,(QC) review
412,define xmls
413,ADaM reviewers guide
414,SDRG
415,ADRG
416,lead programmer role
419,protocols
420,RFPs
422,operational topics
423,Master's Degree Computer science
424,Bachelor's Degree Computer science
425,CDISC/ADaM/SDTM
426,Base SAS
427,SAS/STAT
428,SAS Macro Language
429,"Good organizational, interpersonal, leadership and communication skills"
431,"a talented, enthusiastic, and detail-oriented Data Engineer"
432,an agile way
433,analysis data modeling
434,deployment
435,big data pipelines
436,the Data Analytics team
437,Coda
438,data pipelines
441,ETL
442,big data pipelines
443,AWS technologies
444,Redshift
445,S3
446,EMR
447,EC2
448,DynamoDB
449,Kinesis Firehose
450,Lambda
451,ML teams
454,datasets
455,our offline analytics capabilities
456,Tableau
457,our real time dash boarding capabilities
458,Bachelor’s degree
460,Redshift
461,another columnar store DW
462,cloud solutions / AWS / Azure / Google cloud
463,data visualization
464,Hadoop/MapReduce/AWS
465,EMR
466,Spark/Scala/PySpark/ Apache Kafka / Kinesis Streams / AWS Glue
467,reporting/analytics platforms
468,Experience building flexible data APIs
469,the business Preferred Qualifications
470,a data/software developer/scientist
471,predictive analytics/decision models
472,data mining libraries
473,algorithm design
475,Agile Development
477,our iOS mobile application
479,the fundamentals
481,relevant SWE experience
482,iOS apps
483,"Preferably, apps"
484,the AppStore
485,XCode.. Experience
486,(MVVM
488,Multi-threading and performance & memory optimization
489,RESTful APIs
491,code versioning tools
493,individual projects priorities
495,deliverables
496,your technical expertise
497,bottlenecks
498,our software stack
499,Rubrik Software Engineers
500,self-starters
503,Master’s degree
507,Google Cloud Platform/AWS/Azure
508,Unix/Linux environments
509,Windows environments
510,networking
511,hypervisors
513,AWS
514,Azure
515,GCP
517,AWS
518,granular file recovery
519,Kubernetes Service
520,AWS
521,elastic compute
522,technical specifications
524,agile activities
525,sprint planning
526,thorough knowledge
527,key architectural decisions
528,design considerations
529,detailed RCA
531,master’s degree
532,object-oriented languages
533,developing Microservices
534,RESTful services
535,other SOA development experience
536,preferably AWS
537,ORM
538,Entity Framework
539,Nhibernate
540,Strong TDD approach
541,Nunit
542,xUnit
543,frameworks
544,OOP and SOLID design principles
545,public cloud providers
546,Azure
547,modern java script frameworks
548,Highly efficient data persistent design techniques
549,data retrieval performance
552,Proficient experience
554,Microsoft SQL Server/Postgres
555,other non-relational DBs
556,MongoDB
557,concurrency
559,Agile practices
560,Debugging/Troubleshooting functional and technical issues
561,Performance/Optimization techniques
562,proactively codes
566,multiple concurrent priorities
567,a fast-paced environment
569, Utilizes knowledge
570,Xamarin
571, Transforms business requirements
572,technical specifications
573,a DevOps model
574,debug
575, Generating testing and test cases
579, Bachelor’s degree
580,LINQ
581,Rest APIs
582,Xamarin Forms
583,Xamarin Native development
584,"(Xamarin iOS, Xamarin Droid"
585,Xamarin Studio
586,Xamarin
587,both Apple iOS and Android platforms
588,Xamarin Apps
589,UWP
590,XAML
591,e.g. Azure integrations
592,Azure Active Directory
593,Notifications
594,HockeyApp/Visual Studio App Center
595,Continuous Integration
596,CI
597,DevOps
598,Automation Testing
599,Xamarin
600,Xamarin Profiler
601,Various code repositories
603,TFS
604,MVVM Architecture
605,an Agile methodology
606,VSTS
607,Overall Cross Platform app development ecosystem
608,lifecycle
609,roadmaps
610,Portable Class Library
611,PCL
612,SQLite
613,cross-platform UX design
614,Xamarin Binding
615,SAP HANA REST API Integration
616,Xamarin
617,Xamarin Forms
618,Core Java
619,Swift / XCode
620,a fast-paced & complex environment
621,a self-motivated work ethic
624,all relevant SOPs
625,servicesIntegrate Highspot
626,external APIs
627,CRM
628,CMS
629,"clean, reusable, supportable, and well-tested RESTful APIs"
630,Highspot’s external API
631,Highspot’s Salesforce integrations
632,functionality
634,UX
635,maintainable and testable code
636,internal and external technical documentation
638,APIs
639,data formats
640,data transformations
641,scalable internet software
642,object-oriented and functional design patterns
643,Highspot’s Infrastructure Platform crew
645,DevOps
646,frameworks
647,Highspot
648,highly-scalable and reliable infrastructure
649,other engineering crews
650,highly-availability distributed services
651,observability
652,shared frameworks
653,caches
655,frameworks
657,Highspot’s feature engineering crews
658,as well as with DevOps/Site-Reliability
659,maintainable and testable code
660,internal and external technical documentation
662,cloud computing
663,containerization
664,Kubernetes
665,scalable internet software
666,object-oriented and functional design patterns
667,Clojure
669,Vue
670,.. APIs
671,emerging frameworks
674,Typescript
675,industry leading cloud providers
676,AWS
677,Azure
678,GCP
679,Operational efficiencies
681,automated build and deployment pipelines
683,a collaborative product engineering team
686,the entire software stack
687,API
688,UI components
690,other software development capabilities
691,agile techniques
693,the project roadmap
694,emerging technologies
695,frameworks
696,cloud-based ecosystems
697,proven validation techniques
700,production environments
702,Vue
703,.. APIs
704,emerging frameworks
707,Typescript
708,industry leading cloud providers
709,AWS
710,Azure
711,GCP
712,Operational efficiencies
714,automated build and deployment pipelines
716,a collaborative product engineering team
718,other talented software engineers
720,the entire software stack
721,API
722,UI components
724,emerging technologies
725,frameworks
726,cloud-based ecosystems
727,other software development capabilities
728,agile techniques
729,proven validation techniques
732,production environments
734,Vue
735,.. APIs
736,emerging frameworks
739,Typescript
740,industry leading cloud providers
741,AWS
742,Azure
743,GCP
744,Operational efficiencies
746,automated build and deployment pipelines
748,a collaborative product engineering team
751,the entire software stack
752,API
753,UI components
755,other software development capabilities
756,agile techniques
758,the project roadmap
759,emerging technologies
760,frameworks
761,cloud-based ecosystems
762,proven validation techniques
765,production environments
766,Automated analysis
767,UI
768,Data annotation
769,robust code
772,cloud computing
773,automated analysis
774,annotation
775,advanced display and data manipulation
777,a great back catalogue
778,homebrew projects
779,documentation
784,genomic file formats
785,product enhancements
786,Workplace Search
787,Elasticsearch
788,Kibana
790,international teammates
791,"a mostly text-based, asynchronous, remote-first team environment"
794,the team’s overall technical strategy
795,a product roadmap
796,technical deliverables
797,an important and communicative part
799,all support and escalations tickets
800,workarounds
802,DevOPS
803,Self-starter
804,"a high-pressure, fast-paced, fast growth environment"
805,knowledge base entries
806,the Support Portal
807,SLA
809,Strong TCP/IP knowledge
811,NG Firewalls
812,SSL/IPSec
813,VPN
814,SSO
816,DLP and Encryption gateways
817,Demonstrable experience
818,configuration
819,UNIX/Linux
820,Windows­ based systems
821,prior Active Directory/LDAP experience
823,tcpdump
824,protocols
825,(TCP/IP
826,DNS
827,DHCP
831,Zendesk
832,other support portal tools
834,all support and escalations tickets
835,workarounds
837,DevOPS
838,Self-starter
839,"a high-pressure, fast-paced, fast growth environment"
840,knowledge base entries
841,the Support Portal
842,SLA
844,Strong TCP/IP knowledge
846,NG Firewalls
847,SSL/IPSec
848,VPN
849,SSO
851,DLP and Encryption gateways
852,Demonstrable experience
853,configuration
854,UNIX/Linux
855,Windows­ based systems
856,prior Active Directory/LDAP experience
858,tcpdump
859,protocols
860,(TCP/IP
861,DNS
862,DHCP
866,Zendesk
867,other support portal tools
872,advanced SQL
873,MLOps processes
874,tooling
875,production and debugging complex systems
877,sklearn
878,SparkML
880,NumPy
882,deep learning packages
883,Tensorflow
884,PyTorch
885,Keras
886,Spark
887,Elasticsearch
888,Kubernetes
890,AWS
891,automation technologies
892,"e.g., Kubernetes"
893,Jenkins
894,GNN
895,RL
896,Recommender Systems
897,NLP techniques
898,embeddings
901,the information/cyber security domain
903,exploratory data analysis
905,synthetic data sets
906,statistical and machine learning models
909,debugs
910,software enhancements
911,"local, networked, or Internet-related computer programs"
912,debugging
913,documentation
915,reviews product/project deliverables
916,the life cycle methodologies
917,"i.e., impact assessments"
920,QA test plans
922,the ACI Code
923,troubleshooting
924,Bachelor’s degree
925,6 to 8 years professional Java development experience
926,SDLC
927,Agile
928,the following development languages / frameworks / tools
929,Micro-services architecture
931,orchestration tools
932,e.g. Azure
933,docker
934,Kubernetes
935,OpenShift
936,K8 cluster
937,micro-services deployment
938,other frameworks/tools
939,Nginx/Ingres
940,API Gateway
941,Service Mesh
942,(e.g. Istio
943,sensitive data encryption
944,e.g. HashiCorp/HSM integration
945,the following code versioning
946,i.e. Git
947,TortoiseGit / Sourcetree
948,BitBucket
949,JIRA
950,testing frameworks
951,i.e. Junit
952,Mockito
953,Application Servers
954,JBoss
955,WebSphere
956,Tomcat
957,Database Servers
958,PostgreSQL
959,Oracle
960,MSSQL
961,Linux
962,Object Oriented Programming knowledge
964,JAXB
965,Apache Commons
966,Apache POI
967,Eclipse / STS
968,XML
969,XSD
970,Apache Ant
971,Linux bash scripting
972,SQL
973,DDL
974,DML
975,JDBC
976,liquibase
977,Java Message Service
978,JMS
979,our preferred technology stack
981,LiveView
984,modern JavaScript
985,amazing GraphQL
986,RESTful APIs
987,our backend service teams
988,modern JavaScript technologies
989,a collaborative agile/scrum environment
990,strong competencies
992,software craftsmanship
993,API development
997,Django
1000,GitHub
1003,PostgreSQL
1004,MySQL
1005,Exq
1006,Sidekiq
1008,Beanstalk
1009,RabbitMQ
1010,Kafka
1011,testing frameworks
1012,ExUnit
1013,RSpec
1015,pytest
1016,profiling tools
1018,caching strategies
1019,third party APIs
1021,GraphQL APIs
1022,Absinthe
1023,GraphQL
1025,GCP
1026,Kubernetes
1027,JavaScript SSR
1029,esports
1030,our preferred technology stack
1032,LiveView
1035,amazing GraphQL
1036,RESTful APIs
1037,our backend service teams
1039,modern JavaScript technologies
1040,a collaborative agile/scrum environment
1041,strong competencies
1043,software craftsmanship
1044,API development
1048,Django
1051,GitHub
1054,PostgreSQL
1055,MySql
1056,Exq
1057,Sidekiq
1059,Beanstalk
1060,Kafka
1061,RabbitMQ
1062,testing frameworks
1063,ExUnit
1064,RSpec
1066,pytest
1067,profiling tools
1069,caching strategies
1070,third party APIs
1072,GraphQL APIs
1073,Absinthe
1074,GraphQL
1076,GCP
1077,Kubernetes
1078,JavaScript SSR
1080,esports
1081,our preferred technology stack
1082,(Primarily Elixir/Phoenix/LiveView
1085,modern JavaScript
1086,amazing GraphQL
1087,RESTful APIs
1088,our backend service teams
1089,modern JavaScript technologies
1090,a collaborative agile/scrum environment
1091,strong competencies
1093,software craftsmanship
1094,API development
1098,Django
1101,GitHub
1104,PostgreSQL
1105,MySQL
1106,Exq
1107,Sidekiq
1109,Beanstalk
1110,RabbitMQ
1111,Kafka
1112,testing frameworks
1113,ExUnit
1114,RSpec
1116,pytest
1117,profiling tools
1119,caching strategies
1120,third party APIs
1122,GraphQL APIs
1123,Absinthe
1124,GraphQL
1126,GCP
1127,Kubernetes
1128,JavaScript SSR
1130,esports
1131,our preferred technology stack
1133,LiveView
1136,amazing GraphQL
1137,RESTful APIs
1138,our backend service teams
1140,modern JavaScript technologies
1141,a collaborative agile/scrum environment
1142,strong competencies
1144,software craftsmanship
1145,API development
1149,Django
1152,GitHub
1155,PostgreSQL
1156,MySql
1157,Exq
1158,Sidekiq
1160,Beanstalk
1161,Kafka
1162,RabbitMQ
1163,testing frameworks
1164,ExUnit
1165,RSpec
1167,pytest
1168,profiling tools
1170,caching strategies
1171,third party APIs
1173,GraphQL APIs
1174,Absinthe
1175,GraphQL
1177,GCP
1178,Kubernetes
1179,JavaScript SSR
1181,esports
1182,new analytics products
1183,our existing Java
1184,Deployment
1185,configuration
1186,backend systems
1187,RESTful webservices
1188,SQL
1190,e.g. Postgres
1191,MySQL
1192,columnar and/or time-series databases
1193,"e.g. ClickHouse, Druid"
1194,InfluxDB
1197,"verbally, documentation"
1198,frameworks
1199,Kubernetes
1200,Kafka
1201,programming tasks
1203,reusable design patterns
1204,strong Java script skills
1205,ReactJS
1206,UI changes
1207,design specifications
1208,coordination
1209,UI Team
1210,UX
1211,UI
1213,HTML/CSS/SASS
1214,JavaScript
1215,front-end UI
1216,backend services
1217,responsive web pages
1218,HTML5
1219,CSS
1220,UI frameworks
1221, Bachelor's degree
1222,both custom web/mobile application development & commercial software systems implementations
1223,multiple technical disciplines
1224,QA
1225,devops
1226,a modern highly responsive web-based user interface
1227,React JS
1228,Redux
1229,HTML
1230,modular CSS
1231,JavaScript
1233,REST APIs
1234,deep integrations
1235,automated testing suites
1237,Mocha
1238,UX teams
1240,CI tools
1241,Jenkins
1242,Dev-Ops Deployment process
1243,documentation
1244,BDD/TDD
1247,the Flux Design Pattern
1248,Mocha
1251,BDD Experience
1252,RESTFUL API
1255,front-line dev
1256,a Final Gatekeeper
1257,hotfixes
1258,service outages
1259,e.g. GCP
1260,AWS
1261,e.g. JavaScript
1263,e.g. Bash
1266,Grafana
1267,NewRelic
1268,InfluxDB
1270,Stackdriver
1272,CloudWatch
1273,distributed Database systems
1274,MongoDB
1275,BS/MS
1276,Docker
1277,Kubernetes
1278,a RESTful API system
1279,e.g. Git
1280,Perforce
1281,performance profiling
1283,stakeholders
1284,highly complex user interfaces
1285,Android java
1286,Android Kotlin
1287,specialized software engineering experience
1288,Buck/Bazel
1289,"well-designed, testable, efficient, secure code"
1293,continuous integration
1294,deployment
1296,Golang
1297,an equivalent advanced object-oriented language
1298, Excellent communication and interpersonal skills
1299, Backend development experience
1300,"scalable, high availability services"
1301,AWS technologies
1303,Docker
1304,Kubernetes
1305,Kafka
1307,scalable platform
1308,REST/GraphQL
1309,application-appropriate persistence systems
1310,SQL/NoSQL Databases
1311,robustness
1312,scalability
1313, Automation
1314,build and deployment processes
1316,infrastructure incidents
1317,(AWS/Azure/GCP
1318,Microservices
1319,Micronaut
1320,Quarkus
1321,low-latency systems
1322,NoSQL Databases
1323,Event Brokers
1324,Kafka
1325,API Gateway
1326,FaaS
1327,(Lambdas/GCP Functions
1328,bugfixes
1329,the Terraform community
1330,open source contributors
1331,plugins
1332,the Terraform ecosystem
1333,architectures
1334,the Terraform CLI
1335,core APIs
1336,a seamless experience
1337,Terraform’s open source and commercial offerings
1338,infrastructure automation tooling
1339,HashiCorp customers
1340,the larger Terraform community
1341,the full lifecycle
1342,Golang
1343,mentorship
1344,"large, complex codebases"
1345,a Terraform practitioner
1346,the Go programing language
1348,Ph.D.
1349,ML techniques
1350,frameworks
1351,", data discretization"
1352,normalization
1355,SVMs
1356,deep neural networks
1358,one or more deep learning software frameworks
1359,Tensorflow
1360,PyTorch
1363,Bachelor's degree
1364,Networking
1366,Networking
1367,HTTPS/SSL
1368,"VLANs, TCP/IP"
1369,DNS
1370,NAT devices
1371,DHCP servers
1372,Firewalls
1373,written and verbal English communication skills
1376,IoT
1377,Industry certifications
1378,a plus: AWS
1379,CCNA
1380,CCDA
1381,CCNP
1382,MCSE
1383,CEH
1384,Microsoft Azure
1385,CISSP
1386,CSP
1387,API
1390,Linux systems
1391,previous startup experience
1392,information retrieval
1395,different operating constraints
1396,ML techniques
1397,frameworks
1398,e.g. data discretization
1399,normalization
1402,deep neural networks
1404,reinforcement learning
1407,Excellent stakeholder communication
1409,one or more DL software frameworks
1410,Tensorflow
1411,PyTorch
1412,haves
1413,e.g. Hadoop
1414,Natural Language ProcessingContent & Context UnderstandingRecommender SystemsGraph / Geometric Deep LearningModel
1415,learningPrediction / Inference
1416,customizations
1417,evolving business needs
1418,NetSuite
1419,Netsuite ERP - Implementation
1420,system integrations
1421,Avalara
1423,bank electronic fund transfers
1424,CRM
1425,homegrown systems
1426,Billing
1427,stakeholders
1428,scalable solutions
1429,enhancement requests
1431,stakeholders
1432,validation
1434,scalability
1437,documentation
1438,ERP
1439,Oracle
1440,NetSuite
1441,automation
1442,system optimizations
1443,NetSuite ERP experience
1444,fundamental system integration concepts
1445,production integrations
1446,an ERP and 3rd party systems
1447,Salesforce.com
1449,SQL
1450,Javascript
1451,Unix scripts tool set
1452,SuiteScript
1453,SuiteFlows
1454,Web Services/SuiteTalk
1455,user provisioning
1456,analytics and scheduling scripts
1457,multi-entity environments
1461,Exceptional communicator
1462,a SaaS
1463,usage/consumption-based business
1464,NetSuite Administrator Certification
1466,ERP implementation experience
1467,customer delight
1468,threading/concurrency
1469,networking
1470,automated testing
1472,Golang
1474,standard methodologies
1477,high throughput systems
1478,large scale interactive communications platforms
1479,our API gateways
1480,service scalability
1482,Excellent JavaScript development skills
1485,RESTful APIs
1486,Cloud environments
1487,React web app development
1488,UIs
1489,Experience building API gateways
1490,CI/CD technology
1491,workflows
1492,Real-time 2D/3D applications
1494,standard methodology solutions
1495,TPM
1496,tasking
1497,cloud workspace
1498,pipeline automation/orchestration
1499,VM/container management
1500,Proven programming skills
1502,cloud drive / cloud workspaces
1504,GCP
1505,AWS
1506,Azure
1507,Golang
1509,Postgres
1510,GCP
1511,Kubernetes
1512,the latest iOS/Swift trends
1513,"expressive, readable, composable, and testable Swift code"
1514,iOS provisioning profiles
1516,Demonstrable understanding
1517,the iOS application & view lifecycles
1518,functional & reactive programming
1520,Clean architectural and coding principles
1522,Excellent verbal communication skills
1525,maturity
1526,newly-learned knowledge/patterns
1527,Kotlin Multiplatform.. Experience
1528,Mobile Automation Testing
1529,Fastlane
1530,CI/CD workflows
1531,live iOS/Cocoa applications
1532,SwiftUI
1534,debugging
1535,the backend.. Experience
1537,GitHub
1538,Bitbucket
1539,TDD
1540,the latest Android / Kotlin trends
1541,"expressive, readable, composable, and testable Kotlin code"
1542,Android SDK
1543,the Android application & view lifecycles
1544,functional & reactive programming
1546,Clean architectural and coding principles
1548,Good verbal communication skills
1551,maturity
1552,RxJava/RxKotlin
1553,Kotlin Multiplatform.. Experience
1554,Mobile Automation Testing
1555,Jetpack Compose
1557,Fastlane
1558,CI/CD workflows
1560,debugging
1561,the backend.. Experience
1563,GitHub
1564,Bitbucket
1565,TDD
1566,the latest Android / Kotlin trends
1567,"expressive, readable, composable, and testable Kotlin code"
1568,Android SDK
1569,the Android application & view lifecycles
1570,functional & reactive programming
1572,Clean architectural and coding principles
1574,Good verbal communication skills
1577,maturity
1578,RxJava/RxKotlin
1579,Kotlin Multiplatform.. Experience
1580,Mobile Automation Testing
1581,Jetpack Compose
1583,Fastlane
1584,CI/CD workflows
1586,debugging
1587,the backend.. Experience
1589,GitHub
1590,Bitbucket
1591,TDD
1592,cross-functional alignment
1594,simple and elegant designs
1597,Analytics
1598,a service oriented architecture
1601,resiliency
1602,scalability
1603,SLI
1604,SLA
1605,SLO
1608, Build command and control automations
1609,TTR
1611,oncall and triage rotation
1612," Linux, Networking and AWS experience"
1613,containerization
1614,container platforms
1615,"(e.g., Docker"
1616,Kubernetes
1618,Elasticsearch
1619,Kibana/Grafana
1620,Logstash
1621,kafka
1622,automation systems
1623,saltstack
1624,Python/Kotlin/Go
1625,high performance networking
1626,(Quic
1627,network layer optimization
1628,Real Time transaction protocols/methods
1629,HTTP2
1630,MQTT
1633,other network sniffers
1634,most protocols
1635,(TCP/IP
1636,UDP
1637,our Compute platform
1638,Operability
1640,full region failover
1641,stakeholders
1642,the roadmap
1643,Affirm’s Compute platform infrastructure
1644,mentorship
1646,self-service tooling
1647,rapid provisioning
1648,AWS
1649,other Cloud vendors
1651,the Kubernetes ecosystem
1652,Kubernetes
1653,their compute infrastructure
1654,a growth mindset
1655,our new Observability Infrastructure
1656, Migrate infrastructure
1657,Kubernetes
1658,our growing infrastructure AWS
1659,oncall and triage rotation
1660,observability/monitoring systems
1661, Linux and AWS experience
1663,Elasticsearch
1664,Kibana
1665,Logstash
1666,automation systems
1667,"ansible, puppet"
1668,saltstack
1670,new Affirm products
1672,real time stream processing data pipelines
1673,Affirm's future growth
1674,strict SLAs
1675,frameworks
1679,scalable data processing systems
1680,MapReduce
1681,Spark
1683,data science and analytics teams
1684,robust and highly available infrastructure
1685,scalable and efficient data processing systems
1686,Relational and NoSQL databases
1687,Data Warehouse solutions
1688,the Consul automation tools
1689,HashiCorp customers
1690,the larger Consul community
1691,the network topologies
1694,new functionality
1696,an async process
1697,example UX
1698,peer feedback
1699,the full lifecycle
1700,Golang
1702,service-oriented architectures
1703,internal tooling
1705,tradeoffs
1706,the broader service mesh ecosystem
1709,Raft and Paxos variants
1712,Build and architect systems
1713,extremely large-scale global fleets
1714,HashiCorp customers
1715,the large Consul community
1716,the full lifecycle
1717,Golang
1718,mentorship
1720,reusable white label systems
1721,seamless integration
1722,live ops
1723,optimizations
1724,the dev team
1725,programming deliverables
1726,JIRA
1727,TDDs
1728,other technical documentation
1729,Bachelor’s Degree
1731,social or freemium game economies
1732,a fast-paced team environment
1734,debugging
1736,optimizations
1737,other devs
1738,F2P games
1739,F2P success
1741,user friendly APIs
1742,gameplay logic
1743,performance bottlenecks
1744,well-documented code
1745,modularity
1746,extensibility
1747,Obj-C
1748,computer science fundamentals
1752,debugging skills
1753,B.S.
1754,Shipped multiple applications
1755,mobile or console game development
1756,Experience building frameworks
1757,our frameworks
1758,user friendly APIs
1759,gameplay logic
1760,ugui/uitoolkit
1761,performance bottlenecks
1762,well-documented code
1763,modularity
1764,extensibility
1765,Obj-C
1766,computer science fundamentals
1770,debugging skills
1771,B.S.
1772,Shipped multiple applications
1773,Addressable Assets
1774,Asset Bundles
1775,WebSockets
1776,JSON
1778,mobile or console game development
1779,Experience building frameworks
1780,mentorship
1782,reusable white label systems
1783,seamless integration
1784,live ops
1785,optimizations
1786,the dev team
1787,programming deliverables
1788,JIRA
1789,TDDs
1790,other technical documentation
1791,Bachelor’s Degree
1793,social or freemium game economies
1794,a fast-paced team environment
1796,debugging
1798,optimizations
1799,other devs
1800,F2P games
1801,F2P success
1802,MZ development
1803,delivery pipelines
1806,kubernetes production pipelines
1807,Linux and Mac OSX operating systems
1808,Android release pipelines
1809,Jenkins
1810,tooling
1811,B.S.
1813,Perforce
1816,tool-chains
1817,continuous integration systems
1818,preferably Jenkins
1819,Kubernetes
1820,Mac OSX
1821,Linux
1822,Game Development Cycles
1824,preferably MySQL
1825,Lua
1826,PHP
1827,Obj-C
1828,package and automation tools
1830,Ansible
1831,the most impactful features
1832,external vendors
1833,good architectural standards
1834,blockchain backed game creation
1835,Ship exceptional user experiences
1837,"accessible, responsive, and performant user experiences"
1839,Redux
1840,web3.js
1842,build pipeline tools
1843,gulp
1844,sass
1845,typescript
1846,javascript minifiers
1847,"large, long lived backend code bases"
