,Data,Result,Reason
103,sql/nosql,1,not in english dictionary
104,columnar databases,1,unusual word
105,distributed consensus,0,not detected as hard skill
106,CAP Theorem,1,more than one capital letter
107,RAFT,1,more than one capital letter
108,"map-reduce, reliable multicast",1,unusual word
109,Paxos,1,unusual word
110,CI/CD,1,more than one capital letter
111,Github,1,not in english dictionary
112,Makefiles,1,unusual word
113,Microservices,1,unusual word
114,AWS,1,in sample of hard skills
115,GCPNode.js,1,more than one capital letter
116,REST APIs servicesExperience writing tools,1,more than one capital letter
117,Ruby,0,not detected as hard skill
118,PerlExperience,1,more than one capital letter
119,Bazel,1,unusual word
120,toolingScala programming experienceKnowledge,1,unusual word
121,HTTP 2/websocket,1,in sample of hard skills
122,binary protocolsExperience,1,unusual word
123,Redis,1,in sample of hard skills
124,experience building cloud environments,1,in sample of hard skills
125,Excellent Unix/Linux experience and programming experience,1,in sample of hard skills
126,scripting,0,not detected as hard skill
127,"python, shell",0,not detected as hard skill
128,IPC mechanisms,1,more than one capital letter
129,TCP/IP,1,more than one capital letter
130,Kafka,1,unusual word
131,zmq,1,unusual word
132,grpc,1,unusual word
133,microservice architecture,1,unusual word
134,orchestration,1,in sample of hard skills
135,docker,1,unusual word
136,kubernetes,1,in sample of hard skills
137,cloud environments,1,in sample of hard skills
138,etcd,1,unusual word
139,service meshes,1,in sample of hard skills
140,envoy,0,not detected as hard skill
141,vault,1,in sample of hard skills
142,API gateways,1,in sample of hard skills
143,load balancers,1,unusual word
144,databases,0,not detected as hard skill
145,consistency,0,not detected as hard skill
146,sql/nosql,1,not in english dictionary
147,columnar databases,1,unusual word
148,distributed consensus,0,not detected as hard skill
149,CAP Theorem,1,more than one capital letter
150,RAFT,1,more than one capital letter
151,"map-reduce, reliable multicast",1,unusual word
152,Paxos,1,unusual word
153,CI/CD,1,more than one capital letter
154,Github,1,not in english dictionary
155,Makefiles,1,unusual word
156,Microservices,1,unusual word
157,AWS,1,in sample of hard skills
158,GCPNode.js,1,more than one capital letter
159,REST APIs servicesExperience writing tools,1,more than one capital letter
160,Ruby,0,not detected as hard skill
161,PerlExperience,1,more than one capital letter
162,Bazel,1,unusual word
163,toolingScala programming experienceKnowledge,1,unusual word
164,HTTP 2/websocket,1,in sample of hard skills
165,binary protocolsExperience,1,unusual word
166,Redis,1,in sample of hard skills
167,Web UIExperience,1,in sample of hard skills
168,JavaScript,1,in sample of hard skills
169,HTML,1,in sample of hard skills
170,CSS,1,more than one capital letter
171,algorithms,0,not detected as hard skill
172,standard (W3C) Web UI APIs,1,in sample of hard skills
173,the following types frameworks/libraries/languages,1,in sample of hard skills
174,Angular,0,not detected as hard skill
175,Meteor,0,not detected as hard skill
176,Ember,1,unusual word
177,Knockout,0,not detected as hard skill
178,UI Component libraries,1,in sample of hard skills
179,Vue,1,unusual word
180,Bootstrap,1,unusual word
181,ES6,1,more than one capital letter
182,TypeScript,1,more than one capital letter
183,Dependency injection patterns,0,not detected as hard skill
184,Async Module Definition,1,unusual word
185,"AMD, requireJS",1,more than one capital letter
186,commonJS,1,more than one capital letter
187,Stylesheet languages,1,unusual word
188,SASS,1,more than one capital letter
189,Redux,1,unusual word
190,Reactive Programming,1,in sample of hard skills
191,RxJS,1,more than one capital letter
192,JavaStrong programming skills,1,more than one capital letter
193,lambdas,1,unusual word
194,optionals,1,unusual word
195,Guice knowledge,1,unusual word
196,Protobuf knowledge,1,unusual word
197,:Familiarity,0,not detected as hard skill
198,consuming service oriented architecture layers,1,in sample of hard skills
199,APIs,1,more than one capital letter
200,highly scalable applications,1,unusual word
201,Web UI:Deep understanding,1,in sample of hard skills
202,JSON,1,more than one capital letter
203,JavaScript Design,1,in sample of hard skills
204,Architectural Patterns,0,not detected as hard skill
205,Proficiency,0,not detected as hard skill
206,Maven,1,unusual word
207,", Eclipse/NetBeans/IntelliJ",1,in sample of hard skills
208,Spring/Guice,1,unusual word
209,JPA/Hibernate,1,more than one capital letter
210,JavaExperience,1,more than one capital letter
211,highly distributed and scalable systems,1,unusual word
212,Containers knowledge,1,in sample of hard skills
213,Multi-threaded concepts,1,in sample of hard skills
214,latency,0,not detected as hard skill
215,heap,0,not detected as hard skill
216,profiling,0,not detected as hard skill
217,distributed troubleshooting,1,unusual word
218,NoSQL,1,in sample of hard skills
219,MongoDB,1,more than one capital letter
220,Cassandra,0,not detected as hard skill
221,Redis,1,in sample of hard skills
222,Java Application Servers,1,in sample of hard skills
223,Oracle WebLogic,1,in sample of hard skills
224,JBoss,1,more than one capital letter
225,Tomcat,1,in sample of hard skills
226,frameworks,1,in sample of hard skills
227,Jasmine,0,not detected as hard skill
228,Karma,0,not detected as hard skill
229,Protractor,1,unusual word
230,Junit,1,unusual word
231,Cross-browser techniques,1,in sample of hard skills
232,Chrome Dev Tools,1,in sample of hard skills
233,Responsive design implementation,1,in sample of hard skills
234,Browser performance auditing,1,in sample of hard skills
235,tuning,1,in sample of hard skills
236,distributed code repositories,1,in sample of hard skills
237,"(Git, Perforce",1,unusual word
238,Scrum / Kanban,1,unusual word
239,Guice,1,unusual word
240,GRPC,1,more than one capital letter
241,-,0,not detected as hard skill
242,-,0,not detected as hard skill
243,/BTech/BS,1,more than one capital letter
244,Excellent analytical and problem-solving skills,0,not detected as hard skill
245,Proven-deep-expertise,1,in sample of hard skills
246,Python programming,1,in sample of hard skills
247,Python,0,not detected as hard skill
248,frameworks,1,in sample of hard skills
249,Django,1,not in english dictionary
250,Flask,0,not detected as hard skill
251,APIs,1,more than one capital letter
252,any RDBMS and strong SQL knowledge,1,more than one capital letter
253,Unix / Linux command line,1,in sample of hard skills
254,Object-oriented concepts,1,in sample of hard skills
255,Familiarity,0,not detected as hard skill
256,UI frameworks,1,in sample of hard skills
257,Redux,1,unusual word
258,usability design,1,in sample of hard skills
259,Hadoop / Hive / Presto,1,in sample of hard skills
260,ML/AI frameworks,1,more than one capital letter
261,TensorFlow,1,more than one capital letter
262,H20,1,in sample of hard skills
263,noSQL databases,1,more than one capital letter
264,docker and container platforms,1,unusual word
265,Mesos,1,unusual word
266,Kubernetes,1,in sample of hard skills
267,Application benchmarking,1,in sample of hard skills
268,optimization,1,in sample of hard skills
269,Building user interface applications,1,in sample of hard skills
270,analytical devices,0,not detected as hard skill
271,measurement and control algorithms,1,in sample of hard skills
272,UI Applications,1,in sample of hard skills
273,"analytical, medical, or automotive devices",1,in sample of hard skills
274,Proficiency,0,not detected as hard skill
275,programming user interfaces,1,in sample of hard skills
276,the Qt Framework,1,in sample of hard skills
277,QML,1,more than one capital letter
278,Qt/C++,1,in sample of hard skills
279,regulated markets,1,in sample of hard skills
280,embedded Linux-Systems,1,in sample of hard skills
281,RasPi,1,more than one capital letter
282,BeagleBone,1,more than one capital letter
283,SQL,1,in sample of hard skills
284,IP-based network protocols,1,in sample of hard skills
285,the Linux-Yocto distribution,1,in sample of hard skills
286,Myntra’s new product platforms,1,unusual word
287,mentor,0,not detected as hard skill
288,Architects,0,not detected as hard skill
289,DevOps engineers,1,in sample of hard skills
290,architectural and design best practices,1,in sample of hard skills
291,deployment,1,in sample of hard skills
292,scaling,0,not detected as hard skill
293,availability characteristics,0,not detected as hard skill
294,the long-term architectural direction,0,not detected as hard skill
295,platforms/ reusable components,0,not detected as hard skill
296,a nimble delivery process,1,in sample of hard skills
297,reliability,0,not detected as hard skill
298,extensibility,1,unusual word
299,deliverables,1,unusual word
300,next generation extensible web,1,in sample of hard skills
301,mobile and fashion commerce platforms,1,in sample of hard skills
302,security protocols,1,in sample of hard skills
303,customisation,1,unusual word
304,continuous scaling,0,not detected as hard skill
305,internationalization,1,unusual word
306,extensions,1,in sample of hard skills
307,the architectural governance,1,in sample of hard skills
308,directional paths,0,not detected as hard skill
309,new technology stacks,1,in sample of hard skills
310,multiple technology domains,1,in sample of hard skills
311,Myntra,1,unusual word
312,external technical forums,1,in sample of hard skills
313,business stakeholders,1,in sample of hard skills
314,-,0,not detected as hard skill
315,"term, long-term roadmaps",1,unusual word
316,excellent abstraction,0,not detected as hard skill
317,coding,0,not detected as hard skill
318,a startup/e-commerce ecosystem,1,in sample of hard skills
319,a high growth & matrix environment,0,not detected as hard skill
320,an efficient proficient problem-solver,1,unusual word
321,business and technical perspectives,1,in sample of hard skills
322,workable solutions,0,not detected as hard skill
323,leading product development end-end (portfolio,1,in sample of hard skills
324,-,0,not detected as hard skill
325,architectures,1,in sample of hard skills
326,multi-million sessions/transactions,1,in sample of hard skills
327,rdbms & NoSQL stores,1,unusual word
328,massively large scale distributed internet systems,1,in sample of hard skills
329,Java/GO,1,in sample of hard skills
330,multi-threading and performance oriented programming,1,in sample of hard skills
331,highly scalable products,1,unusual word
332,reliability,0,not detected as hard skill
333,queues,0,not detected as hard skill
334,frameworks,1,in sample of hard skills
335,object-oriented programming,1,in sample of hard skills
336,concurrency,1,unusual word
337,fundamentals,1,in sample of hard skills
338,Developing user-facing web applications,1,in sample of hard skills
339,"reusable, modular code",1,in sample of hard skills
340,Bachelor,0,not detected as hard skill
341,Backend services,1,in sample of hard skills
342,React JS,1,in sample of hard skills
343,JS/TypeScript,1,in sample of hard skills
344,Redux,1,unusual word
345,Webpack bundling,1,unusual word
346,Dev tools,1,in sample of hard skills
347,markup languages,0,not detected as hard skill
348,HTML5,1,in sample of hard skills
349,CSS3,1,more than one capital letter
350,CSS,1,more than one capital letter
351,pre-processing platforms,1,in sample of hard skills
352,SASS,1,more than one capital letter
353,SCSS,1,in sample of hard skills
354,Mysql,1,unusual word
355,Postgres,1,unusual word
356,Data modeling skills,1,in sample of hard skills
357,the testing frameworks,1,in sample of hard skills
358,code versioning tool - Git,1,in sample of hard skills
359,all phases,0,not detected as hard skill
360,deployment,1,in sample of hard skills
361,a standardized IT methodology,1,more than one capital letter
362,Detail Design phases,1,in sample of hard skills
363,outputs,0,not detected as hard skill
364,architectural development,1,in sample of hard skills
365,modifications,0,not detected as hard skill
366,specifications,0,not detected as hard skill
367,congruence,1,unusual word
368,the compatibility,0,not detected as hard skill
369,interdependent technologies,1,unusual word
370,computing related technology programs,1,in sample of hard skills
371,Minimum 1 year Java design and development experience,1,in sample of hard skills
372,Spring and Hibernate based solutions,1,unusual word
373,technical expertise,1,in sample of hard skills
374,statistical programming tasks,1,in sample of hard skills
375,technical expertise,1,in sample of hard skills
376,the Statistical Programming department,1,in sample of hard skills
377,High-Quality Deliverables,1,in sample of hard skills
378,more complex assigned tasks,0,not detected as hard skill
379,appropriate validation requirements,1,in sample of hard skills
380,SOPs,1,more than one capital letter
381,Checks programming logs,1,in sample of hard skills
382,cleanliness,0,not detected as hard skill
383,Inputs,0,not detected as hard skill
384,programming specifications datasets,1,in sample of hard skills
385,datasets,1,unusual word
386,Handles,0,not detected as hard skill
387,dataset derivations,1,unusual word
388,Programs TLFs,1,more than one capital letter
389,biostatistical tools,1,unusual word
390,questions specification,0,not detected as hard skill
391,consistency,0,not detected as hard skill
392,lead programmer,1,in sample of hard skills
393,the Biostatistical Team Lead,1,unusual word
394,supervisor,0,not detected as hard skill
395,project specific macros,1,in sample of hard skills
396,SOPs,1,more than one capital letter
397,timely progress updates,0,not detected as hard skill
398,EAC,1,in sample of hard skills
399,documents timelines,1,not in english dictionary
400,BIOSETUP,1,more than one capital letter
401,integrated databases,0,not detected as hard skill
402,project macros,1,in sample of hard skills
403,SAP,1,in sample of hard skills
404,shells,0,not detected as hard skill
405,programming specifications,1,in sample of hard skills
406,safety outputs,1,in sample of hard skills
407,Shares accountability,0,not detected as hard skill
408,contract and budget assumptions,1,in sample of hard skills
409,rework,1,unusual word
410,mentors junior staff,0,not detected as hard skill
411,(QC) review,1,more than one capital letter
412,define xmls,1,unusual word
413,ADaM reviewers guide,1,more than one capital letter
414,SDRG,1,more than one capital letter
415,ADRG,1,more than one capital letter
416,lead programmer role,1,in sample of hard skills
417,proactive approach,0,not detected as hard skill
418,efficiencies,0,not detected as hard skill
419,protocols,1,in sample of hard skills
420,RFPs,1,more than one capital letter
421,bid defenses,0,not detected as hard skill
422,operational topics,1,in sample of hard skills
423,Master's Degree Computer science,1,in sample of hard skills
424,Bachelor's Degree Computer science,1,in sample of hard skills
425,CDISC/ADaM/SDTM,1,more than one capital letter
426,Base SAS,1,in sample of hard skills
427,SAS/STAT,1,in sample of hard skills
428,SAS Macro Language,1,in sample of hard skills
429,"Good organizational, interpersonal, leadership and communication skills",1,in sample of hard skills
430,coworkers,0,not detected as hard skill
431,"a talented, enthusiastic, and detail-oriented Data Engineer",1,in sample of hard skills
432,an agile way,1,in sample of hard skills
433,analysis data modeling,1,in sample of hard skills
434,deployment,1,in sample of hard skills
435,big data pipelines,1,in sample of hard skills
436,the Data Analytics team,1,in sample of hard skills
437,Coda,1,unusual word
438,data pipelines,1,in sample of hard skills
439,analytical techniques,0,not detected as hard skill
440,insights,0,not detected as hard skill
441,ETL,1,more than one capital letter
442,big data pipelines,1,in sample of hard skills
443,AWS technologies,1,in sample of hard skills
444,Redshift,1,unusual word
445,S3,1,in sample of hard skills
446,EMR,1,in sample of hard skills
447,EC2,1,in sample of hard skills
448,DynamoDB,1,more than one capital letter
449,Kinesis Firehose,1,unusual word
450,Lambda,1,in sample of hard skills
451,ML teams,1,more than one capital letter
452,new behavioural events,0,not detected as hard skill
453,pipelines,0,not detected as hard skill
454,datasets,1,unusual word
455,our offline analytics capabilities,1,in sample of hard skills
456,Tableau,1,unusual word
457,our real time dash boarding capabilities,1,in sample of hard skills
458,Bachelor’s degree,1,in sample of hard skills
459,a similar quantitative field,0,not detected as hard skill
460,Redshift,1,unusual word
461,another columnar store DW,1,unusual word
462,cloud solutions / AWS / Azure / Google cloud,1,in sample of hard skills
463,data visualization,1,in sample of hard skills
464,Hadoop/MapReduce/AWS,1,in sample of hard skills
465,EMR,1,in sample of hard skills
466,Spark/Scala/PySpark/ Apache Kafka / Kinesis Streams / AWS Glue,1,in sample of hard skills
467,reporting/analytics platforms,1,in sample of hard skills
468,Experience building flexible data APIs,1,in sample of hard skills
469,the business Preferred Qualifications,1,in sample of hard skills
470,a data/software developer/scientist,1,in sample of hard skills
471,predictive analytics/decision models,1,in sample of hard skills
472,data mining libraries,1,in sample of hard skills
473,algorithm design,1,in sample of hard skills
474,problem solving,0,not detected as hard skill
475,Agile Development,1,in sample of hard skills
476,Collaborative Filtering,0,not detected as hard skill
477,our iOS mobile application,1,more than one capital letter
478,high visibility,0,not detected as hard skill
479,the fundamentals,1,in sample of hard skills
480,algorithms,0,not detected as hard skill
481,relevant SWE experience,1,more than one capital letter
482,iOS apps,1,more than one capital letter
483,"Preferably, apps",1,in sample of hard skills
484,the AppStore,1,more than one capital letter
485,XCode.. Experience,1,more than one capital letter
486,(MVVM,1,more than one capital letter
487,Proficiency,0,not detected as hard skill
488,Multi-threading and performance & memory optimization,1,in sample of hard skills
489,RESTful APIs,1,more than one capital letter
490,Proficient understanding,0,not detected as hard skill
491,code versioning tools,1,in sample of hard skills
492,Git,0,not detected as hard skill
493,individual projects priorities,1,in sample of hard skills
494,deadlines,0,not detected as hard skill
495,deliverables,1,unusual word
496,your technical expertise,1,in sample of hard skills
497,bottlenecks,1,unusual word
498,our software stack,1,in sample of hard skills
499,Rubrik Software Engineers,1,unusual word
500,self-starters,1,in sample of hard skills
501,a limitless drive,0,not detected as hard skill
502,Bachelor,0,not detected as hard skill
503,Master’s degree,1,in sample of hard skills
504,Proficiency,0,not detected as hard skill
505,Scala,0,not detected as hard skill
506,Python,0,not detected as hard skill
507,Google Cloud Platform/AWS/Azure,1,in sample of hard skills
508,Unix/Linux environments,1,in sample of hard skills
509,Windows environments,1,in sample of hard skills
510,networking,1,in sample of hard skills
511,hypervisors,1,unusual word
512,databases,0,not detected as hard skill
513,AWS,1,in sample of hard skills
514,Azure,1,in sample of hard skills
515,GCP,1,in sample of hard skills
516,databases,0,not detected as hard skill
517,AWS,1,in sample of hard skills
518,granular file recovery,1,in sample of hard skills
519,Kubernetes Service,1,in sample of hard skills
520,AWS,1,in sample of hard skills
521,elastic compute,1,in sample of hard skills
522,technical specifications,1,in sample of hard skills
523,a concise and effective manner,0,not detected as hard skill
524,agile activities,1,in sample of hard skills
525,sprint planning,1,in sample of hard skills
526,thorough knowledge,1,in sample of hard skills
527,key architectural decisions,1,in sample of hard skills
528,design considerations,1,in sample of hard skills
529,detailed RCA,1,in sample of hard skills
530,Bachelor,0,not detected as hard skill
531,master’s degree,1,in sample of hard skills
532,object-oriented languages,1,in sample of hard skills
533,developing Microservices,1,unusual word
534,RESTful services,1,more than one capital letter
535,other SOA development experience,1,in sample of hard skills
536,preferably AWS,1,in sample of hard skills
537,ORM,1,more than one capital letter
538,Entity Framework,1,in sample of hard skills
539,Nhibernate,1,unusual word
540,Strong TDD approach,1,more than one capital letter
541,Nunit,1,unusual word
542,xUnit,1,unusual word
543,frameworks,1,in sample of hard skills
544,OOP and SOLID design principles,1,more than one capital letter
545,public cloud providers,1,in sample of hard skills
546,Azure,1,in sample of hard skills
547,modern java script frameworks,1,in sample of hard skills
548,Highly efficient data persistent design techniques,1,in sample of hard skills
549,data retrieval performance,1,in sample of hard skills
550,(queries,0,not detected as hard skill
551,designs/queries,0,not detected as hard skill
552,Proficient experience,1,in sample of hard skills
553,relational databases,0,not detected as hard skill
554,Microsoft SQL Server/Postgres,1,in sample of hard skills
555,other non-relational DBs,1,in sample of hard skills
556,MongoDB,1,more than one capital letter
557,concurrency,1,unusual word
558,parallel work streams,0,not detected as hard skill
559,Agile practices,1,in sample of hard skills
560,Debugging/Troubleshooting functional and technical issues,1,unusual word
561,Performance/Optimization techniques,1,in sample of hard skills
562,proactively codes,1,unusual word
563,"Excellent analytical, quantitative, and problem-solving abilities",0,not detected as hard skill
564,algorithms,0,not detected as hard skill
565,minimal oversight,0,not detected as hard skill
566,multiple concurrent priorities,1,in sample of hard skills
567,a fast-paced environment,1,in sample of hard skills
568,Strong interpersonal,0,not detected as hard skill
569, Utilizes knowledge,1,in sample of hard skills
570,Xamarin,1,unusual word
571, Transforms business requirements,1,in sample of hard skills
572,technical specifications,1,in sample of hard skills
573,a DevOps model,1,in sample of hard skills
574,debug,1,unusual word
575, Generating testing and test cases,1,in sample of hard skills
576,uniformity,0,not detected as hard skill
577,Architects,0,not detected as hard skill
578,various prototypes,0,not detected as hard skill
579, Bachelor’s degree,1,in sample of hard skills
580,LINQ,1,more than one capital letter
581,Rest APIs,1,more than one capital letter
582,Xamarin Forms,1,unusual word
583,Xamarin Native development,1,unusual word
584,"(Xamarin iOS, Xamarin Droid",1,unusual word
585,Xamarin Studio,1,unusual word
586,Xamarin,1,unusual word
587,both Apple iOS and Android platforms,1,more than one capital letter
588,Xamarin Apps,1,unusual word
589,UWP,1,more than one capital letter
590,XAML,1,more than one capital letter
591,e.g. Azure integrations,1,in sample of hard skills
592,Azure Active Directory,1,in sample of hard skills
593,Notifications,1,in sample of hard skills
594,HockeyApp/Visual Studio App Center,1,more than one capital letter
595,Continuous Integration,1,in sample of hard skills
596,CI,1,more than one capital letter
597,DevOps,1,in sample of hard skills
598,Automation Testing,1,in sample of hard skills
599,Xamarin,1,unusual word
600,Xamarin Profiler,1,unusual word
601,Various code repositories,1,in sample of hard skills
602,Git,0,not detected as hard skill
603,TFS,1,more than one capital letter
604,MVVM Architecture,1,more than one capital letter
605,an Agile methodology,1,in sample of hard skills
606,VSTS,1,more than one capital letter
607,Overall Cross Platform app development ecosystem,1,in sample of hard skills
608,lifecycle,1,in sample of hard skills
609,roadmaps,1,unusual word
610,Portable Class Library,1,in sample of hard skills
611,PCL,1,more than one capital letter
612,SQLite,1,more than one capital letter
613,cross-platform UX design,1,in sample of hard skills
614,Xamarin Binding,1,unusual word
615,SAP HANA REST API Integration,1,in sample of hard skills
616,Xamarin,1,unusual word
617,Xamarin Forms,1,unusual word
618,Core Java,1,in sample of hard skills
619,Swift / XCode,1,more than one capital letter
620,a fast-paced & complex environment,1,in sample of hard skills
621,a self-motivated work ethic,1,in sample of hard skills
622,urgency,0,not detected as hard skill
623, Willingness,0,not detected as hard skill
624,all relevant SOPs,1,more than one capital letter
625,servicesIntegrate Highspot,1,unusual word
626,external APIs,1,more than one capital letter
627,CRM,1,in sample of hard skills
628,CMS,1,more than one capital letter
629,"clean, reusable, supportable, and well-tested RESTful APIs",1,in sample of hard skills
630,Highspot’s external API,1,unusual word
631,Highspot’s Salesforce integrations,1,unusual word
632,functionality,1,in sample of hard skills
633,-,0,not detected as hard skill
634,UX,1,in sample of hard skills
635,maintainable and testable code,1,unusual word
636,internal and external technical documentation,1,in sample of hard skills
637,Proficiency,0,not detected as hard skill
638,APIs,1,more than one capital letter
639,data formats,1,in sample of hard skills
640,data transformations,1,in sample of hard skills
641,scalable internet software,1,unusual word
642,object-oriented and functional design patterns,1,in sample of hard skills
643,Highspot’s Infrastructure Platform crew,1,unusual word
644,other feature crews,0,not detected as hard skill
645,DevOps,1,in sample of hard skills
646,frameworks,1,in sample of hard skills
647,Highspot,1,unusual word
648,highly-scalable and reliable infrastructure,1,unusual word
649,other engineering crews,1,in sample of hard skills
650,highly-availability distributed services,1,in sample of hard skills
651,observability,1,unusual word
652,shared frameworks,1,in sample of hard skills
653,caches,1,unusual word
654,indexes,0,not detected as hard skill
655,frameworks,1,in sample of hard skills
656,-,0,not detected as hard skill
657,Highspot’s feature engineering crews,1,unusual word
658,as well as with DevOps/Site-Reliability,1,in sample of hard skills
659,maintainable and testable code,1,unusual word
660,internal and external technical documentation,1,in sample of hard skills
661,Proficiency,0,not detected as hard skill
662,cloud computing,1,in sample of hard skills
663,containerization,1,unusual word
664,Kubernetes,1,in sample of hard skills
665,scalable internet software,1,unusual word
666,object-oriented and functional design patterns,1,in sample of hard skills
667,Clojure,1,unusual word
668,Angular,0,not detected as hard skill
669,Vue,1,unusual word
670,.. APIs,1,more than one capital letter
671,emerging frameworks,1,in sample of hard skills
672,architectural patterns,0,not detected as hard skill
673,Node,0,not detected as hard skill
674,Typescript,1,unusual word
675,industry leading cloud providers,1,in sample of hard skills
676,AWS,1,in sample of hard skills
677,Azure,1,in sample of hard skills
678,GCP,1,in sample of hard skills
679,Operational efficiencies,1,in sample of hard skills
680,modern ecosystems,0,not detected as hard skill
681,automated build and deployment pipelines,1,in sample of hard skills
682,Collaborative build practices,0,not detected as hard skill
683,a collaborative product engineering team,1,in sample of hard skills
684,a velocity multiplier,0,not detected as hard skill
685,the refinement,0,not detected as hard skill
686,the entire software stack,1,in sample of hard skills
687,API,1,in sample of hard skills
688,UI components,1,in sample of hard skills
689,the norms,0,not detected as hard skill
690,other software development capabilities,1,in sample of hard skills
691,agile techniques,1,in sample of hard skills
692,oversight,0,not detected as hard skill
693,the project roadmap,1,in sample of hard skills
694,emerging technologies,1,in sample of hard skills
695,frameworks,1,in sample of hard skills
696,cloud-based ecosystems,1,in sample of hard skills
697,proven validation techniques,1,in sample of hard skills
698,scripts,0,not detected as hard skill
699,routines,0,not detected as hard skill
700,production environments,1,in sample of hard skills
701,Angular,0,not detected as hard skill
702,Vue,1,unusual word
703,.. APIs,1,more than one capital letter
704,emerging frameworks,1,in sample of hard skills
705,architectural patterns,0,not detected as hard skill
706,Node,0,not detected as hard skill
707,Typescript,1,unusual word
708,industry leading cloud providers,1,in sample of hard skills
709,AWS,1,in sample of hard skills
710,Azure,1,in sample of hard skills
711,GCP,1,in sample of hard skills
712,Operational efficiencies,1,in sample of hard skills
713,modern ecosystems,0,not detected as hard skill
714,automated build and deployment pipelines,1,in sample of hard skills
715,Collaborative build practices,0,not detected as hard skill
716,a collaborative product engineering team,1,in sample of hard skills
717,the refinement,0,not detected as hard skill
718,other talented software engineers,1,in sample of hard skills
719,architects,0,not detected as hard skill
720,the entire software stack,1,in sample of hard skills
721,API,1,in sample of hard skills
722,UI components,1,in sample of hard skills
723,the norms,0,not detected as hard skill
724,emerging technologies,1,in sample of hard skills
