Data,Result,Reason
HTML,1,in sample of hard skills
CSS,1,more than one capital letter
algorithms,0,not detected as hard skill
standard (W3C) Web UI APIs,1,in sample of hard skills
the following types frameworks/libraries/languages,1,in sample of hard skills
Angular,0,not detected as hard skill
Meteor,0,not detected as hard skill
Ember,1,unusual word
Knockout,0,not detected as hard skill
UI Component libraries,1,in sample of hard skills
Vue,1,unusual word
Bootstrap,1,unusual word
ES6,1,more than one capital letter
TypeScript,1,more than one capital letter
Dependency injection patterns,0,not detected as hard skill
Async Module Definition,1,unusual word
"AMD, requireJS",1,more than one capital letter
commonJS,1,more than one capital letter
Stylesheet languages,1,unusual word
SASS,1,more than one capital letter
Redux,1,unusual word
Reactive Programming,1,in sample of hard skills
RxJS,1,more than one capital letter
JavaStrong programming skills,1,more than one capital letter
lambdas,1,unusual word
optionals,1,unusual word
Guice knowledge,1,unusual word
Protobuf knowledge,1,unusual word
:Familiarity,0,not detected as hard skill
consuming service oriented architecture layers,1,in sample of hard skills
APIs,1,more than one capital letter
highly scalable applications,1,unusual word
Web UI:Deep understanding,1,in sample of hard skills
JSON,1,more than one capital letter
JavaScript Design,1,in sample of hard skills
Architectural Patterns,0,not detected as hard skill
Proficiency,0,not detected as hard skill
Maven,1,unusual word
", Eclipse/NetBeans/IntelliJ",1,in sample of hard skills
Spring/Guice,1,unusual word
JPA/Hibernate,1,more than one capital letter
JavaExperience,1,more than one capital letter
highly distributed and scalable systems,1,unusual word
Containers knowledge,1,in sample of hard skills
Multi-threaded concepts,1,in sample of hard skills
latency,0,not detected as hard skill
heap,0,not detected as hard skill
profiling,0,not detected as hard skill
distributed troubleshooting,1,unusual word
NoSQL,1,in sample of hard skills
MongoDB,1,more than one capital letter
Cassandra,0,not detected as hard skill
Redis,1,in sample of hard skills
Java Application Servers,1,in sample of hard skills
Oracle WebLogic,1,in sample of hard skills
JBoss,1,more than one capital letter
Tomcat,1,in sample of hard skills
frameworks,1,in sample of hard skills
Jasmine,0,not detected as hard skill
Karma,0,not detected as hard skill
Protractor,1,unusual word
Junit,1,unusual word
Cross-browser techniques,1,in sample of hard skills
Chrome Dev Tools,1,in sample of hard skills
Responsive design implementation,1,in sample of hard skills
Browser performance auditing,1,in sample of hard skills
tuning,1,in sample of hard skills
distributed code repositories,1,in sample of hard skills
"(Git, Perforce",1,unusual word
Scrum / Kanban,1,unusual word
Guice,1,unusual word
GRPC,1,more than one capital letter
-,0,not detected as hard skill
-,0,not detected as hard skill
/BTech/BS,1,more than one capital letter
Excellent analytical and problem-solving skills,0,not detected as hard skill
Proven-deep-expertise,1,in sample of hard skills
Python programming,1,in sample of hard skills
Python,0,not detected as hard skill
frameworks,1,in sample of hard skills
Django,1,not in english dictionary
Flask,0,not detected as hard skill
APIs,1,more than one capital letter
any RDBMS and strong SQL knowledge,1,more than one capital letter
Unix / Linux command line,1,in sample of hard skills
Object-oriented concepts,1,in sample of hard skills
Familiarity,0,not detected as hard skill
UI frameworks,1,in sample of hard skills
Redux,1,unusual word
usability design,1,in sample of hard skills
Hadoop / Hive / Presto,1,in sample of hard skills
ML/AI frameworks,1,more than one capital letter
TensorFlow,1,more than one capital letter
H20,1,in sample of hard skills
noSQL databases,1,more than one capital letter
docker and container platforms,1,unusual word
Mesos,1,unusual word
Kubernetes,1,in sample of hard skills
Application benchmarking,1,in sample of hard skills
optimization,1,in sample of hard skills
Building user interface applications,1,in sample of hard skills
analytical devices,0,not detected as hard skill
measurement and control algorithms,1,in sample of hard skills
UI Applications,1,in sample of hard skills
"analytical, medical, or automotive devices",1,in sample of hard skills
Proficiency,0,not detected as hard skill
programming user interfaces,1,in sample of hard skills
the Qt Framework,1,in sample of hard skills
QML,1,more than one capital letter
Qt/C++,1,in sample of hard skills
regulated markets,1,in sample of hard skills
embedded Linux-Systems,1,in sample of hard skills
RasPi,1,more than one capital letter
BeagleBone,1,more than one capital letter
SQL,1,in sample of hard skills
IP-based network protocols,1,in sample of hard skills
the Linux-Yocto distribution,1,in sample of hard skills
Myntra’s new product platforms,1,unusual word
mentor,0,not detected as hard skill
Architects,0,not detected as hard skill
DevOps engineers,1,in sample of hard skills
architectural and design best practices,1,in sample of hard skills
deployment,1,in sample of hard skills
scaling,0,not detected as hard skill
availability characteristics,0,not detected as hard skill
the long-term architectural direction,0,not detected as hard skill
platforms/ reusable components,0,not detected as hard skill
a nimble delivery process,1,in sample of hard skills
reliability,0,not detected as hard skill
extensibility,1,unusual word
deliverables,1,unusual word
next generation extensible web,1,in sample of hard skills
mobile and fashion commerce platforms,1,in sample of hard skills
security protocols,1,in sample of hard skills
customisation,1,unusual word
continuous scaling,0,not detected as hard skill
internationalization,1,unusual word
extensions,1,in sample of hard skills
the architectural governance,1,in sample of hard skills
directional paths,0,not detected as hard skill
new technology stacks,1,in sample of hard skills
multiple technology domains,1,in sample of hard skills
Myntra,1,unusual word
external technical forums,1,in sample of hard skills
business stakeholders,1,in sample of hard skills
-,0,not detected as hard skill
"term, long-term roadmaps",1,unusual word
excellent abstraction,0,not detected as hard skill
coding,0,not detected as hard skill
a startup/e-commerce ecosystem,1,in sample of hard skills
a high growth & matrix environment,0,not detected as hard skill
an efficient proficient problem-solver,1,unusual word
business and technical perspectives,1,in sample of hard skills
workable solutions,0,not detected as hard skill
leading product development end-end (portfolio,1,in sample of hard skills
-,0,not detected as hard skill
architectures,1,in sample of hard skills
multi-million sessions/transactions,1,in sample of hard skills
rdbms & NoSQL stores,1,unusual word
massively large scale distributed internet systems,1,in sample of hard skills
Java/GO,1,in sample of hard skills
multi-threading and performance oriented programming,1,in sample of hard skills
highly scalable products,1,unusual word
reliability,0,not detected as hard skill
queues,0,not detected as hard skill
frameworks,1,in sample of hard skills
object-oriented programming,1,in sample of hard skills
concurrency,1,unusual word
fundamentals,1,in sample of hard skills
Developing user-facing web applications,1,in sample of hard skills
"reusable, modular code",1,in sample of hard skills
Bachelor,0,not detected as hard skill
Backend services,1,in sample of hard skills
React JS,1,in sample of hard skills
JS/TypeScript,1,in sample of hard skills
Redux,1,unusual word
Webpack bundling,1,unusual word
Dev tools,1,in sample of hard skills
markup languages,0,not detected as hard skill
HTML5,1,in sample of hard skills
CSS3,1,more than one capital letter
CSS,1,more than one capital letter
pre-processing platforms,1,in sample of hard skills
SASS,1,more than one capital letter
SCSS,1,in sample of hard skills
Mysql,1,unusual word
Postgres,1,unusual word
Data modeling skills,1,in sample of hard skills
the testing frameworks,1,in sample of hard skills
code versioning tool - Git,1,in sample of hard skills
all phases,0,not detected as hard skill
deployment,1,in sample of hard skills
a standardized IT methodology,1,more than one capital letter
Detail Design phases,1,in sample of hard skills
outputs,0,not detected as hard skill
architectural development,1,in sample of hard skills
modifications,0,not detected as hard skill
specifications,0,not detected as hard skill
congruence,1,unusual word
the compatibility,0,not detected as hard skill
interdependent technologies,1,unusual word
computing related technology programs,1,in sample of hard skills
Minimum 1 year Java design and development experience,1,in sample of hard skills
Spring and Hibernate based solutions,1,unusual word
technical expertise,1,in sample of hard skills
statistical programming tasks,1,in sample of hard skills
technical expertise,1,in sample of hard skills
the Statistical Programming department,1,in sample of hard skills
High-Quality Deliverables,1,in sample of hard skills
more complex assigned tasks,0,not detected as hard skill
appropriate validation requirements,1,in sample of hard skills
SOPs,1,more than one capital letter
Checks programming logs,1,in sample of hard skills
cleanliness,0,not detected as hard skill
Inputs,0,not detected as hard skill
programming specifications datasets,1,in sample of hard skills
datasets,1,unusual word
Handles,0,not detected as hard skill
dataset derivations,1,unusual word
Programs TLFs,1,more than one capital letter
biostatistical tools,1,unusual word
questions specification,0,not detected as hard skill
consistency,0,not detected as hard skill
lead programmer,1,in sample of hard skills
the Biostatistical Team Lead,1,unusual word
supervisor,0,not detected as hard skill
project specific macros,1,in sample of hard skills
SOPs,1,more than one capital letter
timely progress updates,0,not detected as hard skill
EAC,1,in sample of hard skills
documents timelines,1,not in english dictionary
BIOSETUP,1,more than one capital letter
integrated databases,0,not detected as hard skill
project macros,1,in sample of hard skills
SAP,1,in sample of hard skills
shells,0,not detected as hard skill
programming specifications,1,in sample of hard skills
safety outputs,1,in sample of hard skills
Shares accountability,0,not detected as hard skill
contract and budget assumptions,1,in sample of hard skills
rework,1,unusual word
mentors junior staff,0,not detected as hard skill
(QC) review,1,more than one capital letter
define xmls,1,unusual word
ADaM reviewers guide,1,more than one capital letter
SDRG,1,more than one capital letter
ADRG,1,more than one capital letter
lead programmer role,1,in sample of hard skills
proactive approach,0,not detected as hard skill
efficiencies,0,not detected as hard skill
protocols,1,in sample of hard skills
RFPs,1,more than one capital letter
bid defenses,0,not detected as hard skill
operational topics,1,in sample of hard skills
Master's Degree Computer science,1,in sample of hard skills
Bachelor's Degree Computer science,1,in sample of hard skills
CDISC/ADaM/SDTM,1,more than one capital letter
Base SAS,1,in sample of hard skills
SAS/STAT,1,in sample of hard skills
SAS Macro Language,1,in sample of hard skills
"Good organizational, interpersonal, leadership and communication skills",1,in sample of hard skills
coworkers,0,not detected as hard skill
"a talented, enthusiastic, and detail-oriented Data Engineer",1,in sample of hard skills
an agile way,1,in sample of hard skills
analysis data modeling,1,in sample of hard skills
deployment,1,in sample of hard skills
big data pipelines,1,in sample of hard skills
the Data Analytics team,1,in sample of hard skills
Coda,1,unusual word
data pipelines,1,in sample of hard skills
analytical techniques,0,not detected as hard skill
insights,0,not detected as hard skill
ETL,1,more than one capital letter
big data pipelines,1,in sample of hard skills
AWS technologies,1,in sample of hard skills
Redshift,1,unusual word
S3,1,in sample of hard skills
EMR,1,in sample of hard skills
EC2,1,in sample of hard skills
DynamoDB,1,more than one capital letter
Kinesis Firehose,1,unusual word
Lambda,1,in sample of hard skills
ML teams,1,more than one capital letter
new behavioural events,0,not detected as hard skill
pipelines,0,not detected as hard skill
datasets,1,unusual word
our offline analytics capabilities,1,in sample of hard skills
Tableau,1,unusual word
our real time dash boarding capabilities,1,in sample of hard skills
Bachelor’s degree,1,in sample of hard skills
a similar quantitative field,0,not detected as hard skill
Redshift,1,unusual word
another columnar store DW,1,unusual word
cloud solutions / AWS / Azure / Google cloud,1,in sample of hard skills
data visualization,1,in sample of hard skills
Hadoop/MapReduce/AWS,1,in sample of hard skills
EMR,1,in sample of hard skills
Spark/Scala/PySpark/ Apache Kafka / Kinesis Streams / AWS Glue,1,in sample of hard skills
reporting/analytics platforms,1,in sample of hard skills
Experience building flexible data APIs,1,in sample of hard skills
the business Preferred Qualifications,1,in sample of hard skills
a data/software developer/scientist,1,in sample of hard skills
predictive analytics/decision models,1,in sample of hard skills
data mining libraries,1,in sample of hard skills
algorithm design,1,in sample of hard skills
problem solving,0,not detected as hard skill
Agile Development,1,in sample of hard skills
Collaborative Filtering,0,not detected as hard skill
our iOS mobile application,1,more than one capital letter
high visibility,0,not detected as hard skill
the fundamentals,1,in sample of hard skills
algorithms,0,not detected as hard skill
relevant SWE experience,1,more than one capital letter
iOS apps,1,more than one capital letter
"Preferably, apps",1,in sample of hard skills
the AppStore,1,more than one capital letter
XCode.. Experience,1,more than one capital letter
(MVVM,1,more than one capital letter
Proficiency,0,not detected as hard skill
Multi-threading and performance & memory optimization,1,in sample of hard skills
RESTful APIs,1,more than one capital letter
Proficient understanding,0,not detected as hard skill
code versioning tools,1,in sample of hard skills
Git,0,not detected as hard skill
individual projects priorities,1,in sample of hard skills
deadlines,0,not detected as hard skill
deliverables,1,unusual word
your technical expertise,1,in sample of hard skills
bottlenecks,1,unusual word
our software stack,1,in sample of hard skills
Rubrik Software Engineers,1,unusual word
self-starters,1,in sample of hard skills
a limitless drive,0,not detected as hard skill
Bachelor,0,not detected as hard skill
Master’s degree,1,in sample of hard skills
Proficiency,0,not detected as hard skill
Scala,0,not detected as hard skill
Python,0,not detected as hard skill
Google Cloud Platform/AWS/Azure,1,in sample of hard skills
Unix/Linux environments,1,in sample of hard skills
Windows environments,1,in sample of hard skills
networking,1,in sample of hard skills
hypervisors,1,unusual word
databases,0,not detected as hard skill
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
GCP,1,in sample of hard skills
databases,0,not detected as hard skill
AWS,1,in sample of hard skills
granular file recovery,1,in sample of hard skills
Kubernetes Service,1,in sample of hard skills
AWS,1,in sample of hard skills
elastic compute,1,in sample of hard skills
technical specifications,1,in sample of hard skills
a concise and effective manner,0,not detected as hard skill
agile activities,1,in sample of hard skills
sprint planning,1,in sample of hard skills
thorough knowledge,1,in sample of hard skills
key architectural decisions,1,in sample of hard skills
design considerations,1,in sample of hard skills
detailed RCA,1,in sample of hard skills
Bachelor,0,not detected as hard skill
master’s degree,1,in sample of hard skills
object-oriented languages,1,in sample of hard skills
developing Microservices,1,unusual word
RESTful services,1,more than one capital letter
other SOA development experience,1,in sample of hard skills
preferably AWS,1,in sample of hard skills
ORM,1,more than one capital letter
Entity Framework,1,in sample of hard skills
Nhibernate,1,unusual word
Strong TDD approach,1,more than one capital letter
Nunit,1,unusual word
xUnit,1,unusual word
frameworks,1,in sample of hard skills
OOP and SOLID design principles,1,more than one capital letter
public cloud providers,1,in sample of hard skills
Azure,1,in sample of hard skills
modern java script frameworks,1,in sample of hard skills
Highly efficient data persistent design techniques,1,in sample of hard skills
data retrieval performance,1,in sample of hard skills
(queries,0,not detected as hard skill
designs/queries,0,not detected as hard skill
Proficient experience,1,in sample of hard skills
relational databases,0,not detected as hard skill
Microsoft SQL Server/Postgres,1,in sample of hard skills
other non-relational DBs,1,in sample of hard skills
MongoDB,1,more than one capital letter
concurrency,1,unusual word
parallel work streams,0,not detected as hard skill
Agile practices,1,in sample of hard skills
Debugging/Troubleshooting functional and technical issues,1,unusual word
Performance/Optimization techniques,1,in sample of hard skills
proactively codes,1,unusual word
"Excellent analytical, quantitative, and problem-solving abilities",0,not detected as hard skill
algorithms,0,not detected as hard skill
minimal oversight,0,not detected as hard skill
multiple concurrent priorities,1,in sample of hard skills
a fast-paced environment,1,in sample of hard skills
Strong interpersonal,0,not detected as hard skill
 Utilizes knowledge,1,in sample of hard skills
Xamarin,1,unusual word
 Transforms business requirements,1,in sample of hard skills
technical specifications,1,in sample of hard skills
a DevOps model,1,in sample of hard skills
debug,1,unusual word
 Generating testing and test cases,1,in sample of hard skills
uniformity,0,not detected as hard skill
Architects,0,not detected as hard skill
various prototypes,0,not detected as hard skill
 Bachelor’s degree,1,in sample of hard skills
LINQ,1,more than one capital letter
Rest APIs,1,more than one capital letter
Xamarin Forms,1,unusual word
Xamarin Native development,1,unusual word
"(Xamarin iOS, Xamarin Droid",1,unusual word
Xamarin Studio,1,unusual word
Xamarin,1,unusual word
both Apple iOS and Android platforms,1,more than one capital letter
Xamarin Apps,1,unusual word
UWP,1,more than one capital letter
XAML,1,more than one capital letter
e.g. Azure integrations,1,in sample of hard skills
Azure Active Directory,1,in sample of hard skills
Notifications,1,in sample of hard skills
HockeyApp/Visual Studio App Center,1,more than one capital letter
Continuous Integration,1,in sample of hard skills
CI,1,more than one capital letter
DevOps,1,in sample of hard skills
Automation Testing,1,in sample of hard skills
Xamarin,1,unusual word
Xamarin Profiler,1,unusual word
Various code repositories,1,in sample of hard skills
Git,0,not detected as hard skill
TFS,1,more than one capital letter
MVVM Architecture,1,more than one capital letter
an Agile methodology,1,in sample of hard skills
VSTS,1,more than one capital letter
Overall Cross Platform app development ecosystem,1,in sample of hard skills
lifecycle,1,in sample of hard skills
roadmaps,1,unusual word
Portable Class Library,1,in sample of hard skills
PCL,1,more than one capital letter
SQLite,1,more than one capital letter
cross-platform UX design,1,in sample of hard skills
Xamarin Binding,1,unusual word
SAP HANA REST API Integration,1,in sample of hard skills
Xamarin,1,unusual word
Xamarin Forms,1,unusual word
Core Java,1,in sample of hard skills
Swift / XCode,1,more than one capital letter
a fast-paced & complex environment,1,in sample of hard skills
a self-motivated work ethic,1,in sample of hard skills
urgency,0,not detected as hard skill
 Willingness,0,not detected as hard skill
all relevant SOPs,1,more than one capital letter
servicesIntegrate Highspot,1,unusual word
external APIs,1,more than one capital letter
CRM,1,in sample of hard skills
CMS,1,more than one capital letter
"clean, reusable, supportable, and well-tested RESTful APIs",1,in sample of hard skills
Highspot’s external API,1,unusual word
Highspot’s Salesforce integrations,1,unusual word
functionality,1,in sample of hard skills
-,0,not detected as hard skill
UX,1,in sample of hard skills
maintainable and testable code,1,unusual word
internal and external technical documentation,1,in sample of hard skills
Proficiency,0,not detected as hard skill
APIs,1,more than one capital letter
data formats,1,in sample of hard skills
data transformations,1,in sample of hard skills
scalable internet software,1,unusual word
object-oriented and functional design patterns,1,in sample of hard skills
Highspot’s Infrastructure Platform crew,1,unusual word
other feature crews,0,not detected as hard skill
DevOps,1,in sample of hard skills
frameworks,1,in sample of hard skills
Highspot,1,unusual word
highly-scalable and reliable infrastructure,1,unusual word
other engineering crews,1,in sample of hard skills
highly-availability distributed services,1,in sample of hard skills
observability,1,unusual word
shared frameworks,1,in sample of hard skills
caches,1,unusual word
indexes,0,not detected as hard skill
frameworks,1,in sample of hard skills
-,0,not detected as hard skill
Highspot’s feature engineering crews,1,unusual word
as well as with DevOps/Site-Reliability,1,in sample of hard skills
maintainable and testable code,1,unusual word
internal and external technical documentation,1,in sample of hard skills
Proficiency,0,not detected as hard skill
cloud computing,1,in sample of hard skills
containerization,1,unusual word
Kubernetes,1,in sample of hard skills
scalable internet software,1,unusual word
object-oriented and functional design patterns,1,in sample of hard skills
Clojure,1,unusual word
Angular,0,not detected as hard skill
Vue,1,unusual word
.. APIs,1,more than one capital letter
emerging frameworks,1,in sample of hard skills
architectural patterns,0,not detected as hard skill
Node,0,not detected as hard skill
Typescript,1,unusual word
industry leading cloud providers,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
GCP,1,in sample of hard skills
Operational efficiencies,1,in sample of hard skills
modern ecosystems,0,not detected as hard skill
automated build and deployment pipelines,1,in sample of hard skills
Collaborative build practices,0,not detected as hard skill
a collaborative product engineering team,1,in sample of hard skills
a velocity multiplier,0,not detected as hard skill
the refinement,0,not detected as hard skill
the entire software stack,1,in sample of hard skills
API,1,in sample of hard skills
UI components,1,in sample of hard skills
the norms,0,not detected as hard skill
other software development capabilities,1,in sample of hard skills
agile techniques,1,in sample of hard skills
oversight,0,not detected as hard skill
the project roadmap,1,in sample of hard skills
emerging technologies,1,in sample of hard skills
frameworks,1,in sample of hard skills
cloud-based ecosystems,1,in sample of hard skills
proven validation techniques,1,in sample of hard skills
scripts,0,not detected as hard skill
routines,0,not detected as hard skill
production environments,1,in sample of hard skills
Angular,0,not detected as hard skill
Vue,1,unusual word
.. APIs,1,more than one capital letter
emerging frameworks,1,in sample of hard skills
architectural patterns,0,not detected as hard skill
Node,0,not detected as hard skill
Typescript,1,unusual word
industry leading cloud providers,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
GCP,1,in sample of hard skills
Operational efficiencies,1,in sample of hard skills
modern ecosystems,0,not detected as hard skill
automated build and deployment pipelines,1,in sample of hard skills
Collaborative build practices,0,not detected as hard skill
a collaborative product engineering team,1,in sample of hard skills
the refinement,0,not detected as hard skill
other talented software engineers,1,in sample of hard skills
architects,0,not detected as hard skill
the entire software stack,1,in sample of hard skills
API,1,in sample of hard skills
UI components,1,in sample of hard skills
the norms,0,not detected as hard skill
emerging technologies,1,in sample of hard skills
frameworks,1,in sample of hard skills
cloud-based ecosystems,1,in sample of hard skills
other software development capabilities,1,in sample of hard skills
agile techniques,1,in sample of hard skills
proven validation techniques,1,in sample of hard skills
scripts,0,not detected as hard skill
routines,0,not detected as hard skill
production environments,1,in sample of hard skills
Angular,0,not detected as hard skill
Vue,1,unusual word
.. APIs,1,more than one capital letter
emerging frameworks,1,in sample of hard skills
architectural patterns,0,not detected as hard skill
Node,0,not detected as hard skill
Typescript,1,unusual word
industry leading cloud providers,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
GCP,1,in sample of hard skills
Operational efficiencies,1,in sample of hard skills
modern ecosystems,0,not detected as hard skill
automated build and deployment pipelines,1,in sample of hard skills
Collaborative build practices,0,not detected as hard skill
a collaborative product engineering team,1,in sample of hard skills
a velocity multiplier,0,not detected as hard skill
the refinement,0,not detected as hard skill
the entire software stack,1,in sample of hard skills
API,1,in sample of hard skills
UI components,1,in sample of hard skills
the norms,0,not detected as hard skill
other software development capabilities,1,in sample of hard skills
agile techniques,1,in sample of hard skills
oversight,0,not detected as hard skill
the project roadmap,1,in sample of hard skills
emerging technologies,1,in sample of hard skills
frameworks,1,in sample of hard skills
cloud-based ecosystems,1,in sample of hard skills
proven validation techniques,1,in sample of hard skills
scripts,0,not detected as hard skill
routines,0,not detected as hard skill
production environments,1,in sample of hard skills
Automated analysis,1,in sample of hard skills
UI,1,in sample of hard skills
Data annotation,1,in sample of hard skills
robust code,1,in sample of hard skills
a biotechnology,0,not detected as hard skill
Python,0,not detected as hard skill
cloud computing,1,in sample of hard skills
automated analysis,1,in sample of hard skills
annotation,1,unusual word
advanced display and data manipulation,1,in sample of hard skills
strong Python coding skills,0,not detected as hard skill
a great back catalogue,1,in sample of hard skills
homebrew projects,1,unusual word
documentation,1,in sample of hard skills
your sleeves,0,not detected as hard skill
Degree qualification,0,not detected as hard skill
Python,0,not detected as hard skill
Ideally some exposure,0,not detected as hard skill
genomic file formats,1,in sample of hard skills
product enhancements,1,in sample of hard skills
Workplace Search,1,in sample of hard skills
Elasticsearch,1,unusual word
Kibana,1,unusual word
mentor,0,not detected as hard skill
international teammates,1,in sample of hard skills
"a mostly text-based, asynchronous, remote-first team environment",1,in sample of hard skills
yearly conferences,0,not detected as hard skill
constructive feedback,0,not detected as hard skill
the team’s overall technical strategy,1,in sample of hard skills
a product roadmap,1,in sample of hard skills
technical deliverables,1,in sample of hard skills
an important and communicative part,1,unusual word
an engaged and spirited team,0,not detected as hard skill
all support and escalations tickets,1,in sample of hard skills
workarounds,1,unusual word
promptly follow-up,0,not detected as hard skill
DevOPS,1,more than one capital letter
Self-starter,1,in sample of hard skills
"a high-pressure, fast-paced, fast growth environment",1,in sample of hard skills
knowledge base entries,1,in sample of hard skills
the Support Portal,1,in sample of hard skills
SLA,1,more than one capital letter
